origin_row,C_ELE,SI_ELE,MN_ELE,P_ELE,S_ELE,CR_ELE,NI_ELE,CU_ELE,TS,0.00(0),1.00(0),2.00(0),3.00(0),4.00(0),5.00(0),6.00(0),7.00(0),8.00(0),9.00(0),10.00(0),11.00(0),12.00(0),13.00(0),14.00(0),15.00(0),16.00(0),17.00(0),18.00(0),19.00(0),20.00(0),21.00(0),22.00(0),23.00(0),24.00(0),25.00(0),26.00(0),27.00(0),28.00(0),29.00(0),30.00(0),31.00(0),32.00(0),33.00(0),34.00(0),35.00(0),36.00(0),37.00(0),38.00(0),39.00(0),40.00(0),41.00(0),42.00(0),43.00(0),44.00(0),45.00(0),46.00(0),47.00(0),48.00(0),49.00(0),50.00(0),51.00(0),52.00(0),53.00(0),54.00(0),55.00(0),56.00(0),57.00(0),58.00(0),59.00(0),60.00(0),61.00(0),62.00(0),63.00(0),64.00(0),65.00(0),66.00(0),67.00(0),68.00(0),69.00(0),70.00(0),71.00(0),72.00(0),73.00(0),74.00(0),75.00(0),76.00(0),77.00(0),78.00(0),79.00(0),80.00(0),81.00(0),82.00(0),83.00(0),0.00(1),1.00(1),2.00(1),3.00(1),4.00(1),5.00(1),6.00(1),7.00(1),8.00(1),9.00(1),10.00(1),11.00(1),12.00(1),13.00(1),14.00(1),15.00(1),16.00(1),17.00(1),18.00(1),19.00(1),20.00(1),21.00(1),22.00(1),23.00(1),24.00(1),25.00(1),26.00(1),27.00(1),28.00(1),29.00(1),30.00(1),31.00(1),32.00(1),33.00(1),34.00(1),35.00(1),36.00(1),37.00(1),38.00(1),39.00(1),40.00(1),41.00(1),42.00(1),43.00(1),44.00(1),45.00(1),46.00(1),47.00(1),48.00(1),49.00(1),50.00(1),51.00(1),52.00(1),53.00(1),54.00(1),55.00(1),56.00(1),57.00(1),58.00(1),59.00(1),60.00(1),61.00(1),62.00(1),63.00(1),64.00(1),65.00(1),66.00(1),67.00(1),68.00(1),69.00(1),70.00(1),71.00(1),72.00(1),73.00(1),74.00(1),75.00(1),76.00(1),77.00(1),78.00(1),79.00(1),80.00(1),81.00(1),82.00(1),83.00(1),pred_ts,diff,abs_diff
13,0.828,0.21,0.51,0.014,0.0071,0.016,0.007,0.0103,1012,896.2343354941555,883.377068156305,873.3811430869561,863.5669711751876,853.9218787025783,844.4425570985644,835.1257058958064,825.9680158843952,815.8958050597226,795.4776320453053,777.1351891817663,759.0905865026774,741.3433239261532,725.9706116721745,712.264703491687,698.7704703046174,685.5011243992568,674.9158159142017,668.4401145379784,661.9835557615434,655.6244108076118,663.4966560216824,674.0316899799719,671.3580135491939,665.0457282413195,658.640259444916,652.3311827862022,646.1165088085423,639.994264881211,633.962529034349,628.0194286523088,622.1631391753281,616.3918828156902,610.703927291618,605.097584581762,599.5712097023369,594.1231995085988,588.7519915220417,583.4560627842245,578.233928737872,573.0841421357982,568.005291977747,562.9960024754091,558.0549320453346,553.1807723297745,548.3722472450172,543.6281120569539,538.9471524833622,534.3281838225471,529.7700501077165,525.271623286622,520.8318024258195,516.4495129390474,512.1237058389951,507.8533570120125,503.6374665149597,499.4750578937552,495.36517752288063,491.3068939652909,487.29929735213153,483.3414987816605,479.4326297367581,475.57184152051065,471.7583047092817,467.9912086226889,464.2697608100113,460.5931865524816,456.9607283809081,453.37164560822856,449.82521387639775,446.3207247172717,442.8574851269125,439.4348171529453,436.0520574945462,432.7085571145779,429.4036808635876,426.1368071151276,422.9073274122077,419.7146461243211,416.558180114902,413.4373584186106,410.351621928436,407.3004230920327,404.2832256170991,896.2395917735074,883.4695490903435,873.5411158104463,863.7932385934506,854.2133079303777,844.7980220852602,835.5440901817557,826.4482148684341,816.3422337773192,794.9769483972779,775.8598455368993,757.0539436831431,738.5597383282997,722.5819255459722,708.3768025144225,694.3934395821478,680.6457071459264,669.8155658270805,663.4840326428334,657.1643288283943,652.7950195856956,670.2794143674055,672.9726326693402,667.6910480109473,661.3121533203849,655.025346221717,648.8326094418461,642.7319737412216,636.721520265806,630.7993794650325,624.9637297976413,619.2127964515737,613.5448500811642,607.9582055645969,602.4512207837159,597.0222954278566,591.6698698232098,586.3924237885241,581.1884755179514,576.0565804914396,570.9953304130061,566.0033521768911,561.0793068616325,556.2218887518259,551.4298243873151,546.7018716395257,542.0368188144188,537.4334837817205,532.8907131298333,528.407381345907,523.9823900205088,519.6146670763322,515.3031660202901,511.0468652184642,506.8447671931635,502.69589794165273,498.5993062758211,494.5540631822195,490.5592612018735,486.61401382925584,482.7174549298906,478.8687381759581,475.0670364993954,471.311541561886,467.6014632412761,463.9360291338325,460.3144840718747,456.7360896562695,453.2001238033288,449.7058803056055,446.252668406202,442.83981238605537,439.4666511638749,436.13253790823495,432.83683966151744,429.5789369752044,426.35822355622025,423.1741059239603,420.0260030776442,416.9133461736212,413.8355782123359,410.7921537346798,407.782538527286,404.80620933667456,1044.7831,32.78308,32.78308
26,0.828,0.21,0.51,0.014,0.0071,0.016,0.007,0.0103,1107,909.2017766166116,895.912429404321,885.696971360292,875.6703059276427,865.8166887824985,856.1328605440457,846.6155615351541,837.2614963303514,828.0673561068814,807.1967430399228,788.666118052556,770.434288134646,752.4992824561235,736.6270292249577,722.765820248045,709.097138632767,695.6555077307875,684.2361721643516,677.7389846072155,671.1409352091653,664.6433675805314,658.244106162226,663.6757320444349,674.8802179783971,672.854535282142,666.6317477016654,660.202389242911,653.869856187035,647.6322174202193,641.4874876914,635.4337327282876,629.4690679328983,623.5916570803623,617.7997110311151,612.0914864602446,606.4652846066801,600.9194500445752,595.4523694787212,590.0624705653337,584.7482207592315,579.5081261882525,574.3407305552992,569.2446140683207,564.2183923984197,559.260715665962,554.3702674545484,549.5457638526753,544.7859525226409,540.08961179632,535.4555497974056,530.8826035894856,526.3696383496005,521.9155465664463,517.519247262945,513.1796852423352,508.8958303572676,504.6666768013432,500.4912424223484,496.36856805668543,492.2977168843593,488.2777738038884,484.3078448265359,480.3870564893529,476.5145552863602,472.68950711738927,468.91109675397655,465.178527321777,461.49101979899166,457.8478125303182,454.2481607558383,450.6913361544912,447.1766264015076,443.7033347395144,440.2707795626964,436.8782940137557,433.5252255930769,430.2109357798511,426.9347996646926,423.6962055933744,420.4945548212797,417.3292611783304,414.1997507439362,411.105461531673,408.0458431833952,909.2071405079596,896.0059875847202,885.8579853219825,875.8975875111129,866.1091279834092,856.4893501372775,847.0350005388967,837.7427929223692,828.6094298716943,806.7661824623134,787.4600790356857,768.4655734874369,749.7815864812649,733.282279605504,718.9207155898443,704.7606748128501,690.8382176549636,679.1108362623171,672.7681107138812,666.3082072557032,659.9460070594927,655.1224627075392,671.1820118663239,674.2859649341909,669.2418452584404,662.8443585291966,656.534532753094,650.3192603612708,644.196559987137,638.1645006750841,632.2212010871214,626.3648282059804,620.5935960512221,614.9057644120111,609.29963759946,603.7735632208374,598.3259309774916,592.9551714879387,587.6597551371152,582.4381909526376,577.2890255085064,572.2108418566218,567.2022584862118,562.2619283111804,557.388537685193,552.5808054442829,547.8374819766527,543.1573483192615,538.5392152807282,533.9819225900973,529.4843380708915,525.0453568399058,520.6639005301336,516.3389165373032,512.0693772893317,507.8542795381267,503.6926436731266,499.5835130559729,495.5259533756683,491.5190520236778,487.56191748834266,483.6536787680115,479.7934848023812,475.9805039213944,472.2139233112042,468.4929484966906,464.8168028399196,461.1847270541254,457.5959787326379,454.0498318923711,450.545576531298,447.0825181995107,443.659977583442,440.2772901027769,436.93380551967255,433.62888755979577,430.3619135449958,427.13227403697056,423.9393724917667,420.78262492463887,417.66145958501306,414.5753166411462,411.523647874209,408.5059163815024,1049.8268,-57.173218,57.173218
135,0.83,0.21,0.53,0.0107,0.0082,0.013,0.006,0.0072,1205,855.32818849731,843.7286354748722,834.420432074931,815.7611192223411,797.0815437119592,778.7146068406206,760.6439809888521,742.8706540841973,725.3950592185233,708.2172016091375,691.5300796972723,675.1850089403854,659.1303897099357,643.3652495737456,629.1628714534147,652.2314964784604,645.2146604513487,630.1783879286753,615.2477866484287,600.7569164869966,586.6837800282477,572.8761161272867,564.5936484837941,559.6356308338652,554.7427085754207,549.9157752417517,545.1535772711875,540.4548917968473,535.8185257803807,531.2433151590092,526.7281240179288,522.2718437875521,517.8733924649506,513.5317138589857,509.2457768584594,505.01457472263166,500.8371243935503,496.7124658296328,492.6396613597059,488.6177950570699,484.6459721329526,480.7233183487152,476.8489794462914,473.0221205962253,469.24192586288666,465.50759768614137,461.8183563791242,458.173439641496,454.5721020877516,451.0136147899844,447.497264834808,444.0223548938034,440.5882028072023,437.1941411802057,433.83951699172,430.5236912149151,427.2460384493681,424.00594656430695,420.80281635263015,417.6360611953762,414.50510673624825,411.4093905658877,408.3483619155365,405.3214813599302,402.3282205288632,399.3680618274214,396.4404981643296,393.5450326883966,390.6811785326278,387.8484585657965,385.04640515128136,382.2745599128652,379.5324735073101,376.8197054034917,374.1358236678562,371.4804047559941,368.8530333102129,366.25330196279066,363.6808111447959,361.1351689003755,358.6159907061594,356.1228992957465,353.65552448912973,351.2135030267819,855.3331237002536,843.8179185594357,834.5771120752871,815.1553901578678,795.702576866575,776.5759543034832,757.7588612195035,739.2533871933754,721.0609508983576,703.1824528927013,685.8231254401695,668.8268336731741,652.1388928134438,635.7589424658131,638.0968560412177,650.1469943985791,636.6206688018254,620.8581624692993,605.3901474432594,590.3890592796688,575.8337450618127,561.5626002739033,553.2094358104737,548.4572178285822,543.7663771363381,539.1377412028589,534.5701449403808,530.062451482088,525.6135513859368,521.2223618536226,516.8878259732145,512.6089119848948,508.3846125690775,504.2139441563874,500.09594625888656,496.0296808218675,492.0142315957309,488.0487035271877,484.1322221693882,480.2639331102523,476.4430014185126,472.66861110692105,468.939964612024,465.25628229004633,461.6168019283151,458.0207782717995,454.4674825641705,450.956202103036,447.4862398087705,444.05691380657714,440.6675570213668,437.3175167849127,434.0061544550436,430.7328450463395,427.4969768720591,424.2979511968495,421.1351818999364,418.0080951484019,414.9161290803089,411.8587334972331,408.8353695659589,405.8455095290682,402.8886364240471,399.9642438107088,397.0718355066261,394.2109253302846,391.38103685180414,388.5817031508687,385.8124665816518,383.0728785446397,380.3624992649287,377.6808975769347,375.0276507152407,372.4023441114569,369.8045711967764,367.2339332101864,364.6900390120442,362.1725049029306,359.68095444752424,357.2150183034526,354.77433405485016,352.3585460505409,349.967305246687,347.6002690537716,1172.323,-32.677002,32.677002
158,0.865,0.23,0.51,0.014,0.0057,0.022,0.007,0.0098,1180,897.2315953463659,884.3391785443968,874.3270943126091,864.4974050321047,854.8371464537028,845.3430014527254,836.0116628160046,821.2452297861201,802.2882546272446,783.8403854025097,765.6887652893912,747.8342885142471,730.2775052623849,713.0185073101334,696.2551381255362,680.8822160387231,665.6818778948215,650.7491748956652,637.2826043449949,647.9646276866098,655.3582004997827,644.251710181585,631.9099834049453,619.7707994368964,608.515872088378,603.408092639839,597.9082700801052,592.4862727529721,587.1405579939133,581.8696158066218,576.6719742329363,571.5461982706236,566.4908888192201,561.5046816539348,556.5862464275843,551.7342857003393,546.9475339969152,542.2247568908612,537.5647501155149,532.9663387010723,528.4283761373262,523.9497435614167,519.5293489700921,515.166126455846,510.859035466313,506.6070600863286,502.40920834202007,498.26451152633456,494.1720235453719,490.1308202848695,486.1399989964058,482.1986777024771,478.3059946200855,474.46110760218994,470.66319359640784,466.9114481205547,463.20508475432985,459.5433346467607,455.9254460388436,452.3506838009169,448.8183289842361,445.32767838635954,441.8780441298516,438.46875325387913,435.0991473182681,431.7685820196521,428.4764268192476,425.2220645819282,422.00489122622486,418.82431538488703,415.6797580755937,412.57065238159913,409.49644314187566,406.4565866505462,403.4505503651949,400.47781262383023,397.53786237022325,394.6301988873022,391.7543315383712,388.9097795159063,386.09607159768905,383.31274590992825,380.5593496973713,377.8354390999296,897.2368617579665,884.4317622002883,874.4871647595129,864.7237641900912,855.1286621457176,845.6985482775038,836.4301249034528,821.234542395422,801.4772257513945,782.2603538107545,763.3526104642275,744.7560192594748,726.4721540781544,708.5020314658083,691.0556767181878,675.0840984315503,659.2964273918241,643.7923481024783,630.4345413480878,653.7869901117298,649.3726368391799,636.2020079691179,623.457814639196,610.9294436647331,599.3513105678011,594.4581702106884,589.1409888458419,583.8980833274218,578.7279951039586,573.6292967850592,568.6005967171568,563.6405379624515,558.7477973057491,553.9210842888203,549.1591402721994,544.4607375238402,539.8246783343332,535.2497941581062,530.734944780103,526.2790175074127,521.8809263851864,517.5396114363617,513.2540379244965,509.0231956391502,504.8460982031503,500.7217824012363,496.64930752929934,492.6277547638132,488.6562265506866,484.7338460130684,480.8597563774714,477.0331204176573,473.2531199157697,469.5189551400754,465.8298443389039,462.1850232502294,458.58374462631855,455.0252777730738,451.5089081035328,448.03393670507415,444.5996799198986,441.2054689383045,437.8506494044236,434.5345810339158,431.25663724331713,428.0162047905936,424.8126834265474,421.6454855567486,418.5140359136147,415.4177712383336,412.35613997225806,409.3286019575001,406.33462814647584,403.37370031996215,400.44531081353534,397.5489622520055,394.68416729169405,391.85044837021417,389.0473374635162,386.27437585001246,383.531113881538,380.8171107609114,378.1319343258144,375.47516083894425,1220.8403,40.840332,40.840332
